Country;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;last_updated
AP;NA;NA;NA;NA;NA;NA;2020-03-07
AP;NA;NA;NA;NA;NA;NA;2020-03-08
AP;NA;NA;NA;NA;NA;NA;2020-03-09
AP;NA;NA;NA;NA;NA;NA;2020-03-10
AP;NA;NA;NA;NA;NA;NA;2020-03-11
AP;NA;NA;NA;NA;NA;NA;2020-03-12
AP;NA;NA;NA;NA;NA;NA;2020-03-13
AP;NA;NA;NA;NA;NA;NA;2020-03-14
AP;NA;NA;NA;NA;NA;NA;2020-03-15
AP;NA;NA;NA;NA;NA;NA;2020-03-16
AP;NA;NA;NA;NA;NA;NA;2020-03-17
AP;NA;NA;NA;NA;NA;NA;2020-03-18
AP;NA;NA;NA;NA;NA;NA;2020-03-19
AP;1;1;NA;NA;NA;NA;2020-03-20
AP;1;NA;NA;NA;NA;NA;2020-03-21
AP;1;NA;NA;NA;NA;NA;2020-03-22
AP;1;NA;NA;NA;NA;NA;2020-03-23
AP;1;NA;NA;NA;NA;NA;2020-03-24
AP;1;NA;NA;NA;NA;NA;2020-03-25
AP;2;1;NA;NA;NA;NA;2020-03-26
AP;2;NA;NA;NA;NA;NA;2020-03-27
AP;4;2;NA;NA;NA;NA;2020-03-28
AP;4;NA;NA;NA;NA;NA;2020-03-29
AP;8;4;NA;NA;NA;NA;2020-03-30
AP;10;2;NA;NA;NA;NA;2020-03-31
AP;11;1;NA;NA;NA;NA;2020-04-01
AP;11;NA;NA;NA;NA;NA;2020-04-02
AP;19;8;NA;NA;NA;NA;2020-04-03
BA;NA;NA;NA;NA;NA;NA;2020-01-30
BA;NA;NA;NA;NA;NA;NA;2020-01-31
BA;NA;NA;NA;NA;NA;NA;2020-02-01
BA;NA;NA;NA;NA;NA;NA;2020-02-02
BA;NA;NA;NA;NA;NA;NA;2020-02-03
BA;NA;NA;NA;NA;NA;NA;2020-02-04
BA;NA;NA;NA;NA;NA;NA;2020-02-05
BA;NA;NA;NA;NA;NA;NA;2020-02-06
BA;NA;NA;NA;NA;NA;NA;2020-02-07
BA;NA;NA;NA;NA;NA;NA;2020-02-08
